name,released,genres,platforms,rating,metacritic,ratings_count
Buried Alive: Breathless Rescue,2023-12-12,"Adventure, Action, Simulation","PC, Xbox One, PlayStation 4, Nintendo Switch",0.0,,1
Golden Force,2021-01-28,"Indie, Adventure, Action","PC, Xbox One, PlayStation 4, Nintendo Switch",0.0,65.0,1
Pushy and Pully in Blockland,2020-05-05,"Casual, Indie, Adventure","PC, Xbox One, PlayStation 4, Nintendo Switch, macOS, Linux",0.0,,0
Watch Your Ride,2021-04-29,"Racing, Family, Indie","PC, Nintendo Switch",0.0,,1
Bridge Constructor: TWD,2020-11-19,"Simulation, Puzzle","PC, PlayStation 5, Xbox One, PlayStation 4, Xbox Series S/X, Nintendo Switch, iOS, Android, macOS, Linux",0.0,,0
Bubble Bobble 4 Friends: The Baron Is Back!,2020-11-17,Platformer,"PlayStation 4, Nintendo Switch",0.0,72.0,0
Epic Party Quest,2023-12-01,"Indie, Family, Action","PC, PlayStation 5, Xbox Series S/X, Nintendo Switch",0.0,,0
Psikyo Shooting Stars Bravo,2020-02-18,"Arcade, Action",Nintendo Switch,0.0,,1
Scorn DLC: The Death Of Last,2023-06-02,Shooter,"PC, Xbox Series S/X",0.0,,0
Minecraft Dungeons: Hero DLC,2020-07-01,"Action, RPG","PC, Xbox One, Nintendo Switch",0.0,,0
Jurassic World Aftermath Collection,2022-11-10,Adventure,"PlayStation 5, PlayStation 4, Nintendo Switch",0.0,,2
Elevator Action -Returns- S-Tribute,2022-11-30,Action,"PC, Xbox One, PlayStation 4, Nintendo Switch",0.0,,0
Fitness Circuit,2023-05-26,"Family, Sports",Nintendo Switch,0.0,,2
Super Mega Space Blaster Special Turbo,2020-01-14,"Shooter, Indie, Action","PC, Xbox One, PlayStation 4, Nintendo Switch, macOS, Linux",0.0,,0
Pooplers,2020-03-12,"Casual, Indie","PC, Nintendo Switch",0.0,,0
Urban Trial Tricky,2020-06-25,,Nintendo Switch,0.0,,1
Koh-Lanta - Les Aventuriers,2021-10-14,Action,"PC, Xbox One, PlayStation 4, Xbox Series S/X, Nintendo Switch, macOS",0.0,,0
Convoy: A Tactical Roguelike,2020-04-08,Strategy,"Xbox One, PlayStation 4, Nintendo Switch",0.0,,1
Arcade Archives PLUS ALPHA,2020-04-16,Shooter,"PlayStation 4, Nintendo Switch",0.0,,0
Overwatch 2 - Starter Pack: Season Three,2023-03-07,"Shooter, Action","PC, PlayStation 5, Xbox One, PlayStation 4, Xbox Series S/X, Nintendo Switch",0.0,,3
Gems of Magic: Father's Day,2021-08-06,"Casual, Strategy, Adventure, Puzzle","PC, Nintendo Switch",0.0,,0
Hammerwatch II: Anniversary Pack,2023-08-15,"Indie, Adventure, Action, RPG","PC, PlayStation 5, Xbox One, PlayStation 4, Xbox Series S/X, Nintendo Switch",0.0,,0
Squadron 51,2022-09-21,"Indie, Shooter, Arcade, Action","PC, PlayStation 5, PlayStation 4, Nintendo Switch",0.0,,1
Jumanji: The Curse Returns,2021-09-01,"Adventure, Casual, Simulation, Card, Indie, Board Games","PC, Nintendo Switch, iOS",0.0,,0
TMNT Splintered Fate,2023-05-03,"Adventure, Action, RPG","PC, Nintendo Switch, iOS",0.0,,2
A Little to the Left: Cupboards & Drawers,2023-06-27,"Casual, Indie","PC, PlayStation 5, PlayStation 4, Xbox Series S/X, Nintendo Switch",0.0,,0
Arcade Archives TECMO BOWL,2020-01-30,,"PlayStation 4, Nintendo Switch",0.0,,0
Pocoyo Party,2021-04-15,Arcade,"PlayStation 4, Nintendo Switch",0.0,,0
Picross S7,2022-01-10,Puzzle,Nintendo Switch,0.0,,2
Dead Cells: The Queen and the Sea,2022-01-06,Platformer,"PC, Nintendo Switch",0.0,,0
Ar nosurge DX,2021-03-04,"Adventure, RPG","PC, PlayStation 4, Nintendo Switch",0.0,,0
SNK GALS' FIGHTERS,2020-04-29,Fighting,Nintendo Switch,0.0,,0
Picross X: Picbits vs. Uzboross,2022-08-04,Puzzle,Nintendo Switch,0.0,,1
Taxi Sim 2020,2020-06-03,,Nintendo Switch,0.0,,1
Skull Island: Rise of Kong,2023-10-17,"Adventure, Action","PC, PlayStation 5, Xbox One, PlayStation 4, Xbox Series S/X, Nintendo Switch",0.0,,1
I dream of you and ice cream,2020-06-17,"Indie, Adventure","PC, Nintendo Switch",0.0,,0
Suika Game,2021-04-01,Puzzle,"Nintendo Switch, iOS",0.0,,1
Nioh 2 - Darkness in the Capital,2020-10-15,"Adventure, Action, RPG",PlayStation 5,0.0,,0
Nioh 2 - The First Samurai,2020-12-17,"Adventure, Action, RPG",PlayStation 5,0.0,,0
World of Outlaws: Dirt Racing,2022-09-27,"Racing, Simulation","PlayStation 5, Xbox One, PlayStation 4, Xbox Series S/X, Nintendo Switch",0.0,,1
even if TEMPEST,2022-06-09,Casual,Nintendo Switch,0.0,,0
Zeus Quest - The Rebirth of Earth,2022-06-02,"Indie, Strategy, Adventure, Action","PC, PlayStation 5, Xbox One, PlayStation 4, Xbox Series S/X, macOS, Linux",0.0,69.0,0
Arcade Archives FORMATION Z,2020-03-19,,"PlayStation 4, Nintendo Switch",0.0,,0
void* tRrLM2(); //Void Terrarium 2,2022-06-29,RPG,"PlayStation 4, Nintendo Switch",0.0,,0
Apex Legends - Bangalore Edition,2021-08-17,Shooter,"PC, PlayStation 5, Xbox One, PlayStation 4, Xbox Series S/X, Nintendo Switch",0.0,,2
Apex Legends - Ascension Pack,2020-11-12,Shooter,"PC, PlayStation 5, Xbox One, PlayStation 4, Xbox Series S/X",0.0,,2
Quick Mafs,2022-03-09,Casual,"PlayStation 5, PlayStation 4",0.0,,1
Conjurer Andy's Repeatable Dungeon,2020-06-23,"Casual, Strategy, Indie","PC, Nintendo Switch",0.0,,0
Dead Cells: Fatal Falls,2021-01-26,Platformer,"PC, Nintendo Switch",0.0,,0
Genkai Tokki: Seven Pirates H,2022-05-12,RPG,Nintendo Switch,0.0,,0
Cramped Room of Death,2023-07-19,"Casual, Indie, Puzzle","PC, Nintendo Switch",0.0,,1
WildTrax Racing,2020-05-29,"Racing, Simulation, Sports","PC, Nintendo Switch",0.0,,0
